tenure_id,person_id,first_surname,second_surname,given_name,date_elected_appointed,years_tenure,is_elected,is_interim,is_military,is_junta,vacant_presidency,date_tenure_start,date_tenure_end,is_resigned,is_deposed
T0001,P0001,Blanco,Encalada,Manuel,1826-07-08,,1,1,0,0,0,1826-07-09,1826-09-09,1,0
T0002,P0002,Eyzaguirre,Arechavala,Agustín,1826-09-09,,0,1,0,0,0,1826-09-09,1827-01-25,1,0
T0003,P0003,Freire,Serrano,Ramón,1827-01-25,,0,1,0,0,0,1827-01-25,1827-02-15,0,0
T0004,P0003,Freire,Serrano,Ramón,1827-02-13,,1,0,0,0,0,1827-02-15,1827-05-08,1,0
T0005,P0004,Pinto,Díaz,Francisco Antonio,1827-05-08,,0,1,0,0,0,1827-05-08,1829-07-16,1,0
T0006,P0005,Vicuña,Larraín,Francisco Ramón,1829-07-16,,0,1,0,0,0,1829-07-16,1829-10-19,0,0
T0005,P0004,Pinto,Díaz,Francisco Antonio,1829-09-17,,1,0,0,0,0,1829-10-19,1829-11-02,1,0
T0007,P0005,Vicuña,Larraín,Francisco Ramón,1829-11-02,,0,1,0,0,0,1829-11-02,1829-11-07,0,1
T0008,P0003,Freire,Serrano,Ramón,1829-11-07,,0,1,0,1,0,1829-11-07,1829-11-08,0,1
T0007,P0005,Vicuña,Larraín,Francisco Ramón,1829-11-02,,0,1,0,0,0,1829-11-08,1829-12-07,1,0
T0009,,,,,,,0,1,0,0,1,1829-12-07,1829-12-24,,
T0010,P0006,Ovalle,Bezanilla,José Tomás Ovalle,1829-12-24,,0,1,0,1,0,1829-12-24,1830-02-18,0,0
T0011,P0007,Ruiz-Tagle,Portales,Francisco,1830-02-18,,1,1,0,0,0,1830-02-18,1830-04-01,1,0
T0012,P0006,Ovalle,Bezanilla,José Tomás Ovalle,1830-04-01,,0,1,0,0,0,1830-04-01,1831-03-08,1,0
T0013,P0008,Errázuriz,Aldunate,Fernando,1831-03-08,,0,1,0,0,0,1831-03-08,1831-09-18,0,0
T0014,P0009,Prieto,Vial,Joaquín,1831-04-05,5,1,0,0,0,0,1831-09-18,1836-09-18,0,0
T0015,P0009,Prieto,Vial,Joaquín,1836-03-31,5,1,0,0,0,0,1836-09-18,1841-09-18,0,0
T0016,P0010,Bulnes,Prieto,Manuel,1841-07-26,5,1,0,0,0,0,1841-09-18,1846-09-18,0,0
T0017,P0010,Bulnes,Prieto,Manuel,1846-09-18,5,1,0,0,0,0,1846-09-18,1851-09-18,0,0
T0018,P0011,Montt,Torres,Manuel,1851-06-26,5,1,0,0,0,0,1851-09-18,1856-09-18,0,0
T0019,P0011,Montt,Torres,Manuel,1856-07-25,5,1,0,0,0,0,1856-09-18,1861-09-18,0,0
T0020,P0012,Pérez,Mascayano,José Joaquín,1861-07-16,5,1,0,0,0,0,1861-09-18,1866-09-18,0,0
T0021,P0012,Pérez,Mascayano,José Joaquín,1866-06-15,5,1,0,0,0,0,1866-09-18,1871-09-18,0,0
T0022,P0013,Errázuriz,Zañartu,Federico,1871-06-15,5,1,0,0,0,0,1871-09-18,1876-09-18,0,0
T0023,P0014,Pinto,Garmendia,Aníbal,1876-06-15,5,1,0,0,0,0,1876-09-18,1881-09-18,0,0
T0024,P0015,Santa María,González,Domingo,1881-06-15,5,1,0,0,0,0,1881-09-18,1886-09-18,0,0
T0025,P0016,Balmaceda,Fernández,José Manuel,1886-06-15,5,1,0,0,0,0,1886-09-18,1891-08-29,1,1
T0026,P0017,Baquedano,González,Manuel,1891-08-29,,0,1,1,0,0,1891-08-29,1891-08-31,1,0
T0027,P0018,Montt,Álvarez,Jorge,1891-08-31,,0,1,1,1,0,1891-08-31,1891-12-26,0,0
T0028,P0018,Montt,Álvarez,Jorge,1891-10-18,5,1,0,0,0,0,1891-12-26,1896-09-18,0,0
T0029,P0019,Errázuriz,Echaurren,Federico,1896-06-25,5,1,0,0,0,0,1896-09-18,1901-07-12,0,0
T0030,P0020,Zañartu,Zañartu,Aníbal,1901-07-12,,0,1,0,0,0,1901-07-12,1901-09-18,0,0
T0031,P0021,Riesco,Errázuriz,Germán,1901-06-25,5,1,0,0,0,0,1901-09-18,1906-09-18,0,0
T0032,P0022,Montt,Montt,Pedro,1906-06-25,5,1,0,0,0,0,1906-09-18,1910-08-16,0,0
T0033,P0023,Fernández,Albano,Elías,1910-08-16,,0,1,0,0,0,1910-08-16,1910-09-06,0,0
T0034,P0024,Figueroa,Larraín,Emiliano,1910-09-06,,0,1,0,0,0,1910-09-06,1910-12-23,0,0
T0035,P0025,Barros,Luco,Ramón,1910-10-15,5,1,0,0,0,0,1910-12-23,1915-12-23,0,0
T0036,P0026,Sanfuentes,Andonaegui,Juan Luis,1915-06-25,5,1,0,0,0,0,1915-12-23,1920-12-23,0,0
T0037,P0027,Alessandri,Palma,Arturo,1920-06-25,5,1,0,0,0,0,1920-12-23,1924-09-12,0,1
T0038,P0028,Altamirano,Talavera,Luis,1924-09-12,,0,1,1,1,0,1924-09-12,1925-01-23,0,1
T0039,P0029,Dartnell,Encina,Pedro Pablo,1925-01-23,,0,1,1,1,0,1925-01-23,1925-01-27,1,0
T0040,P0030,Bello,Codesido,Emilio,1925-01-27,,0,1,0,1,0,1925-01-27,1925-03-12,1,0
T0036,P0027,Alessandri,Palma,Arturo,1920-06-25,5,1,0,0,0,0,1925-03-12,1925-10-01,1,0
T0041,P0031,Barros,Borgoño,Luis,1925-10-01,,0,1,0,0,0,1925-10-01,1925-12-23,0,0
T0042,P0024,Figueroa,Larraín,Emiliano,1925-10-24,6,1,0,0,0,0,1925-12-23,1927-05-10,1,0
T0043,P0032,Ibáñez,del Campo,Carlos,1927-05-10,,0,1,0,0,0,1927-05-10,1927-07-21,0,0
T0044,P0032,Ibáñez,del Campo,Carlos,1927-05-22,6,1,0,0,0,0,1927-07-21,1931-07-26,1,0
T0045,P0033,Opaso,Letelier,Pedro,1931-07-26,,0,1,0,0,0,1931-07-26,1931-07-27,1,0
T0046,P0034,Montero,Rodríguez,Juan Esteban,1931-07-27,,0,1,0,0,0,1931-07-27,1931-09-03,1,0
T0047,P0035,Trucco,Franzani,Manuel,1931-09-03,,0,1,0,0,0,1931-09-03,1931-11-15,1,0
T0046,P0034,Montero,Rodríguez,Juan Esteban,1931-07-27,,0,1,0,0,0,1931-11-15,1931-12-04,0,0
T0048,P0034,Montero,Rodríguez,Juan Esteban,1931-10-04,6,1,0,0,0,0,1931-12-04,1932-06-04,0,1
T0049,P0036,Puga,Osorio,Arturo,1932-06-04,,0,1,1,1,0,1932-06-04,1932-06-13,1,0
T0050,P0037,Dávila,Espinoza,Carlos,1932-06-13,,0,1,0,1,0,1932-06-13,1932-09-13,1,0
T0051,P0038,Blanche,Espejo,Bartolomé,1932-09-13,,0,1,1,1,0,1932-09-13,1932-10-02,1,0
T0052,P0039,Oyanedel,Urrutia,Abraham,1932-10-02,,0,1,0,0,0,1932-10-02,1932-12-24,0,0
T0053,P0027,Alessandri,Palma,Arturo,1932-10-30,6,1,0,0,0,0,1932-12-24,1938-12-24,0,0
T0054,P0040,Aguirre,Cerda,Pedro,1938-10-25,6,1,0,0,0,0,1938-12-24,1941-11-25,0,0
T0055,P0041,Méndez,Arancibia,Jerónimo,1941-11-25,,0,1,0,0,0,1941-11-25,1942-04-02,0,0
T0056,P0042,Ríos,Morales,Juan Antonio,1942-02-01,6,1,0,0,0,0,1942-04-02,1946-06-27,0,0
T0057,P0043,Duhalde,Vásquez,Alfredo,1946-06-27,,0,1,0,0,0,1946-06-27,1946-08-03,1,0
T0058,P0044,Merino,Bielich,Vicente,1946-08-03,,0,1,0,0,0,1946-08-03,1946-08-13,1,0
T0057,P0043,Duhalde,Vásquez,Alfredo,1946-06-27,,0,1,0,0,0,1946-08-13,1946-10-17,1,0
T0059,P0045,Iribarren,Cabezas,Juan Antonio,1946-10-17,,0,1,0,0,0,1946-10-17,1946-11-03,0,0
T0060,P0046,González,Videla,Gabriel,1946-09-04,6,1,0,0,0,0,1946-11-03,1952-11-03,0,0
T0061,P0032,Ibáñez,del Campo,Carlos,1952-09-04,6,1,0,0,0,0,1952-11-03,1958-11-03,0,0
T0062,P0047,Alessandri,Rodríguez,Jorge,1958-09-04,6,1,0,0,0,0,1958-11-03,1964-11-03,0,0
T0063,P0048,Frei,Montalva,Eduardo,1964-09-04,6,1,0,0,0,0,1964-11-03,1970-11-03,0,0
T0064,P0049,Allende,Gossens,Salvador,1970-09-04,6,1,0,0,0,0,1970-11-03,1973-09-11,0,1
T0065,,,,,,,0,0,1,1,0,1973-09-11,1974-12-17,,
T0066,P0050,Pinochet,Ugarte,Augusto,1974-12-17,,0,0,1,0,0,1974-12-17,1981-03-11,0,0
T0067,P0050,Pinochet,Ugarte,Augusto,1974-12-17,8,1,0,1,0,0,1981-03-11,1989-03-11,0,0
T0068,P0050,Pinochet,Ugarte,Augusto,1989-03-11,1,1,0,1,0,0,1989-03-11,1990-03-11,0,0
T0069,P0051,Aylwin,Azócar,Patricio,1989-12-14,4,1,0,0,0,0,1990-03-11,1994-03-11,0,0
T0070,P0052,Frei,Ruiz-Tagle,Eduardo,1993-12-11,6,1,0,0,0,0,1994-03-11,2000-03-11,0,0
T0071,P0053,Lagos,Escobar,Ricardo,2000-01-16,6,1,0,0,0,0,2000-03-11,2006-03-11,0,0
T0072,P0054,Bachelet,Jeria,Michelle,2006-01-15,4,1,0,0,0,0,2006-03-11,2010-03-11,0,0
T0073,P0055,Piñera,Echenique,Sebastián,2010-01-17,4,1,0,0,0,0,2010-03-11,2014-03-11,0,0
T0074,P0054,Bachelet,Jeria,Michelle,2013-12-15,4,1,0,0,0,0,2014-03-11,2018-03-11,0,0
T0075,P0055,Piñera,Echenique,Sebastián,2017-12-17,4,1,0,0,0,0,2018-03-11,2022-03-11,0,0
T0076,P0056,Boric,Font,Gabriel,2021-12-19,4,1,0,0,0,0,2022-03-11,,,
